,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,locLabel,artworkLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
205,http://www.wikidata.org/entity/Q18573008,,gold; wood; tempera,religious art,Department of Paintings of the Louvre,speech scroll; baptismal font; oil lamp; Presentation of Jesus at the Temple,Sienese School,Presentation of Jesus at the Temple,Italy,Italy,Guido of Siena,male,1275,[48.5],[34.5],http://commons.wikimedia.org/wiki/Special:FilePath/Guido%20Da%20Siena%20-%20Presentation%20of%20Jesus%20at%20the%20Temple%20-%20WGA10986.jpg,{'nan'},Louvre Museum,The Presentation at the Temple,,,France,painting,1
206,http://www.wikidata.org/entity/Q18573010,,poplar wood; oil paint,mythological painting,Department of Paintings of the Louvre,Jupiter; bull; kidnapping; watercourse; Europa,Q3578530,Rape of Europa,Verona,Italy,Liberale da Verona,male,1470,[118.0],[39.0],http://commons.wikimedia.org/wiki/Special:FilePath/Liberale%20da%20verona%2C%20rapimento%20di%20europa%2C%201470%20ca..JPG,{'nan'},Louvre Museum,The Abduction of Europa,,,France,painting,1
207,http://www.wikidata.org/entity/Q18573012,,gold; wood; tempera,religious art,Department of Paintings of the Louvre,Peter; beard; key; book,Sienese School; Proto-Renaissance,Peter,Siena,Italy,Lippo Memmi,male,1330,[44.2],[94.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lippo%20memmi%2C%20san%20pietro%2C%201330%20ca..JPG,{'nan'},Louvre Museum,St. Peter,,,France,painting,1
208,http://www.wikidata.org/entity/Q18573047,,wood; oil paint,religious art,Department of Paintings of the Louvre,Child Jesus,Sienese School,Adoration of the Magi,Siena,Italy,Pietro Lorenzetti,male,1335,[24.0],[33.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20lorenzetti%2C%20adorazione%20dei%20magi%2C%201335-40%20ca..JPG,{'nan'},Louvre Museum,The Adoration of the Magi,,,France,painting,1
209,http://www.wikidata.org/entity/Q18573049,,tempera; poplar wood; oil paint,religious art,Department of Paintings of the Louvre,pigeon; Augustine of Hippo; writing; sitting; Holy Spirit; Jerome; Virgin Mary; book; Child Jesus,Renaissance,Madonna and Child,Perugia,Italy,Pinturicchio,male,1502,[41.0],[59.2],http://commons.wikimedia.org/wiki/Special:FilePath/Pinturicchio%2C%20madonna%20col%20bambino%20tra%20i%20santi%20girolamo%20e%20gregorio%20magno%2C%201502-08%20ca.%2002.JPG,{'nan'},Louvre Museum,Madonna and Child with St. Jerome and St. Gregory the Great,,,France,painting,1
210,http://www.wikidata.org/entity/Q18573051,,tempera; poplar wood; oil paint,religious art,Department of Paintings of the Louvre,theft; cloister; health care; caravan; donkey; Camelus; lion; broad-leaved tree; paw; convent; sailing ship; sea; architecture; bridge; Jerome,Sienese School,Saint Jerome extracting a thorn from the lion's foot,Siena,Italy,Sano di Pietro,male,1437,[78.0],[23.5],http://commons.wikimedia.org/wiki/Special:FilePath/Sano%20di%20pietro%2C%20scene%20della%20vita%20di%20san%20girolamo%2C%201444%2C%20dal%20convento%20di%20san%20girolamo%20a%20siena%2C%2003.JPG,{'nan'},Louvre Museum,St. Jerome and the Lion,,,France,painting,1
211,http://www.wikidata.org/entity/Q18573060,,gold; tempera; poplar wood,religious art,Department of Paintings of the Louvre,angel; Virgin Mary; Child Jesus,Sienese School,Madonna and Child,Siena,Italy,Stefano di Giovanni,male,1437,[118.0],[207.0],http://commons.wikimedia.org/wiki/Special:FilePath/Sassetta%2C%20madonna%20col%20bambino%20e%20angeli%2C%20da%20polittico%20di%20s.%20francesco%20a%20borgo%20san%20sepolcro%2C%201437-1444%20ca..JPG,{'nan'},Louvre Museum,Madonna and Child with Angels,,,France,painting,1
212,http://www.wikidata.org/entity/Q18573062,"Maria und das Jesuskind, umgeben von sechs Engeln",wood; tempera,religious art,Department of Paintings of the Louvre,Anthony of Padua,Sienese School,Anthony of Padua,Siena,Italy,Stefano di Giovanni,male,1450,[118.0],[205.0],http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Antoine%20de%20Padoue%20%E2%80%93%20Sassetta%20%E2%80%93%20Mus%C3%A9e%20du%20Louvre%2C%20RF%201956-11%20b%20%E2%80%93%20Q18573062.jpg,{'nan'},Louvre Museum,St. Anthony of Padua,,,France,painting,1
213,http://www.wikidata.org/entity/Q18573083,,tempera; poplar wood; oil paint,religious art,Department of Paintings of the Louvre,tomb,Renaissance; Umbrian school,entombment of Christ,Città della Pieve,Italy,Pietro Perugino,male,1473,[28.2],[30.2],http://commons.wikimedia.org/wiki/Special:FilePath/Perugino%2C%20predella%20con%20storie%20di%20san%20girolamo%2C%201472%20ca.%2003.JPG,{'nan'},Louvre Museum,Christ in the Tomb,,,France,painting,1
214,http://www.wikidata.org/entity/Q18573194,,oil paint; canvas,mythological painting,Department of Paintings of the Louvre,death; Venus; sighthound; putto; broad-leaved tree; woman; Adonis,Mannerism,,Amsterdam,Netherlands,Lambert Sustris,male,1587,[199.0],[155.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Mort%20d%27Adonis%20-%20Lambert%20Sustris%20-%20Q18573194.jpg,{'nan'},Louvre Museum,The Death of Adonis,,,France,painting,1
215,http://www.wikidata.org/entity/Q18573200,,oil paint; canvas,portrait,Department of Paintings of the Louvre,man,Mannerism; Venetian school,,Venice,Italy,Jacopo Tintoretto,male,1540,[83.0],[99.5],http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27un%20gentilhomme%2C%20la%20main%20sur%20l%27%C3%A9p%C3%A9e%20-%20Le%20Tintoret%20-%20Q18573200.jpg,{'nan'},Louvre Museum,"Portrait of a Nobleman, His Hand on a Sword",,,France,painting,1
216,http://www.wikidata.org/entity/Q18573201,,oil paint; canvas,portrait,Department of Paintings of the Louvre,man,Italian Renaissance,,Mirandola,Italy,Dosso Dossi,male,1519,[77.0],[95.0],http://commons.wikimedia.org/wiki/Special:FilePath/Dosso%20dossi%2C%20ritratto%20maschile%20detto%20cesare%20borgia%2C%201518-20%20ca..JPG,{'nan'},Louvre Museum,Portrait of a Man,,,France,painting,1
217,http://www.wikidata.org/entity/Q18573203,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Virgin Mary; Joseph; Child Jesus,Q3578530,,Verona,Italy,Felice Riccio,male,1560,[97.0],[87.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Sainte%20Famille%20avec%20une%20sainte%20-%20Felice%20Riccio%20-%20Q18573203.jpg,{'nan'},Louvre Museum,The Holy Family with a Saint,,,France,painting,1
218,http://www.wikidata.org/entity/Q18573208,,oil paint; canvas,religious art,Department of Paintings of the Louvre,True Cross,Venetian school,Descent from the Cross,Bassano del Grappa,Italy,Jacopo Bassano,male,1570,[225.0],[154.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20%28c%C3%B3pia%29%20-%20Deposi%C3%A7%C3%A3o%20do%20Cristo.JPG,{'nan'},Louvre Museum,The Deposition,,,France,painting,1
219,http://www.wikidata.org/entity/Q18573209,,oil paint; canvas,animal art,Department of Paintings of the Louvre,sky; trunk; dog; plant; rope,Venetian school,,Bassano del Grappa,Italy,Jacopo Bassano,male,1548,[80.0],[61.0],http://commons.wikimedia.org/wiki/Special:FilePath/Bassano-Chiens-Louvre.jpg,{'nan'},Louvre Museum,Two Hounds,,,France,painting,1
220,http://www.wikidata.org/entity/Q18573212,,wood; oil paint,religious art,Department of Paintings of the Louvre,flood; rain; rooster; poultry; lion; dog; duck; rabbit; horse; Cervus elaphus; donkey; animal; monkey; Noah; bird; sheep; Red Deer; Noah tralesqui; cow,Venetian school,,Bassano del Grappa,Italy,Jacopo Bassano,male,1579,[121.0],[101.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20workshop%20-%20Animals%20boarding%20the%20Noah%27s%20Ark%20-%20Louvre.jpg,{'nan'},Louvre Museum,The Animals Entering Noah's Ark,,,France,painting,1
221,http://www.wikidata.org/entity/Q18573215,,oil paint; canvas,nude,Department of Paintings of the Louvre,Esther; Ahasuerus,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1600,[306.0],[198.0],http://commons.wikimedia.org/wiki/Special:FilePath/L%27Evanouissement%20d%27Esther.jpg,{'nan'},Louvre Museum,Esther and Ahasuerus,,,France,painting,1
222,http://www.wikidata.org/entity/Q18573218,,oil paint; canvas,nude; religious art,Department of Paintings of the Louvre,garden pond; nudity; judge; dog,Q3578530; Mannerism,Susanna and the Elders,Verona,Italy,Paolo Veronese,male,1600,[198.0],[198.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20019.jpg,{'nan'},Louvre Museum,Susannah and the Elders,,,France,painting,1
223,http://www.wikidata.org/entity/Q18573232,,oil paint; canvas,portrait,Department of Paintings of the Louvre,helmet; body armor; window; beard; galley; admiral,High Renaissance,,Venice,Italy,Palma il Giovane,male,1610,[91.0],[117.0],http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Giovane%20-%20Portrait%20of%20Vincenzo%20Cappello%20-%20WGA16925.jpg,{'nan'},Louvre Museum,Portrait of Vincenzo Cappello,,,France,painting,1
224,http://www.wikidata.org/entity/Q18573243,,canvas; fresco,mythological painting,Department of Paintings of the Louvre,Jupiter; Apollo; lyre; Diana; putto; crown,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1557,[228.0],[310.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20veronese%2C%20le%20sette%20divinit%C3%A0%20planetarie%2C%20da%20palazzo%20trevisan%20a%20murano%2C%201557%20ca.%2001.JPG,{'nan'},Louvre Museum,"The Olympians: Jupiter, Apollo, Diana and Mars",,,France,painting,1
225,http://www.wikidata.org/entity/Q18573245,,oil paint; canvas,mythological painting,Department of Paintings of the Louvre,Lot,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1550,[120.0],[93.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Fuite%20de%20Lot%20-%20Paul%20V%C3%A9ron%C3%A8se%20-%20Q18573245.jpg,{'nan'},Louvre Museum,The Flight of Loth,,,France,painting,1
226,http://www.wikidata.org/entity/Q18573246,,oil paint; canvas,religious art,Department of Paintings of the Louvre,blessing; body armor; man; Saint George; poignard; throne; sitting; spear; palm branch; Child Jesus,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1554,[99.0],[100.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20veronese%2C%20madonna%20col%20bambino%20tra%20i%20santi%20giorgio%20e%20giustina%20con%20un%20benedettino%20inginocchiato%2C%201554%20ca.%2002.JPG,{'nan'},Louvre Museum,"Madonna and Child between St. Justina and St. George, with a Kneeling Benedictine Monk",,,France,painting,1
227,http://www.wikidata.org/entity/Q18573248,,paper; oil paint; canvas,religious art,Department of Paintings of the Louvre,Jesus,Q3578530; Mannerism,Raising of Jairus' daughter,Verona,Italy,Paolo Veronese,male,1546,[37.0],[42.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20cat01c.jpg,{'nan'},Louvre Museum,The Raising of Jairus' daughter,,,France,painting,1
228,http://www.wikidata.org/entity/Q18573249,,oil paint; canvas,mythological painting; allegory,Department of Paintings of the Louvre,Zeus; Jupiter,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1556,[330.0],[560.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20-%20Jupiter%20Hurling%20Thunderbolts%20at%20the%20Vices%20-%20WGA24935.jpg,{'nan'},Louvre Museum,Jupiter Hurling Thunderbolts at the Vices,,,France,painting,1
229,http://www.wikidata.org/entity/Q18573251,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mark the Evangelist,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1556,[317.0],[330.0],http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Marc%20r%C3%A9compensant%20les%20vertus%20-%20Paul%20V%C3%A9ron%C3%A8se%20-%20Q18573251.jpg,{'nan'},Louvre Museum,St. Mark Crowning the Virtues,,,France,painting,1
230,http://www.wikidata.org/entity/Q18573252,,oil paint; canvas,portrait,Department of Paintings of the Louvre,family; boy; dog,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1546,[95.0],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20038.jpg,{'nan'},Louvre Museum,Portrait of a Woman with a Child and a Dog,,,France,painting,1
231,http://www.wikidata.org/entity/Q18573253,,canvas; fresco,nude,Department of Paintings of the Louvre,Venus; Saturn; helmet; musical instrument; putto; bow; score; scythe; Caduceus; Mercury,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1557,[228.0],[310.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20veronese%2C%20le%20sette%20divinit%C3%A0%20planetarie%2C%20da%20palazzo%20trevisan%20a%20murano%2C%201557%20ca.%2002.JPG,{'nan'},Louvre Museum,"The Olympians: Venus, Saturn and Mercury",,,France,painting,1
232,http://www.wikidata.org/entity/Q18573255,,oil paint; canvas,portrait,Department of Paintings of the Louvre,Francis I of France,High Renaissance; Venetian school,Francis I of France,Pieve di Cadore,Italy,Titian,male,1539,[89.0],[109.0],http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%2C%20ritratto%20di%20francesco%20I%20di%20francia%2C%201539.JPG,{'nan'},Louvre Museum,Portrait of Francis I,,,France,painting,1
233,http://www.wikidata.org/entity/Q18573257,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Coronation of the Virgin,Mannerism; Venetian school,Coronation of the Virgin,Venice,Italy,Jacopo Tintoretto,male,1580,[362.0],[143.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Tintoretto%20026.jpg,{'nan'},Louvre Museum,The Coronation of the Virgin,1st arrondissement of Paris,,France,painting,1
234,http://www.wikidata.org/entity/Q18573258,,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,beard; Jacopo Tintoretto; painter,Mannerism; Venetian school,Jacopo Tintoretto,Venice,Italy,Jacopo Tintoretto,male,1587,[52.0],[62.5],http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Tintoretto%20031-2.jpg,{'nan'},Louvre Museum,Self-Portrait,,,France,painting,1
235,http://www.wikidata.org/entity/Q18573261,,oil paint; canvas,portrait,Department of Paintings of the Louvre,man,Mannerism; Venetian school,,Venice,Italy,Jacopo Tintoretto,male,1570,[89.0],[114.0],http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27homme%20%C3%A2g%C3%A9%20tenant%20un%20mouchoir%20-%20Le%20Tintoret%20-%20Q18573261.jpg,{'nan'},Louvre Museum,Portrait of Old Man Holding a Handkerchief,,,France,painting,1
236,http://www.wikidata.org/entity/Q18573272,,oil paint; canvas,religious art,Department of Paintings of the Louvre,crowd; soldier; spear; body armor,High Renaissance,Jesus and the woman taken in adultery,Venice,Italy,Lorenzo Lotto,male,1527,[156.0],[124.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lorenzo%20Lotto%20-%20The%20adulterous%20woman%20-%20Louvre.JPG,{'nan'},Louvre Museum,The Woman Taken in Adultery,,,France,painting,1
237,http://www.wikidata.org/entity/Q18573283,,oil paint; canvas,religious art; portrait,Department of Paintings of the Louvre,horse; path; woman; Child Jesus; field,Venetian school,Adoration of the shepherds,"Serina, Lombardy",Italy,Palma Vecchio,male,1520,[210.0],[140.0],http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20vecchio%2C%20adorazione%20dei%20pastori%2C%201520-25.JPG,{'nan'},Louvre Museum,The Adoration of the Sheperds with a Donor,,,France,painting,1
238,http://www.wikidata.org/entity/Q18573288,,poplar wood; oil paint,portrait,Department of Paintings of the Louvre,Saint Sebastian; Catherine of Alexandria,Mannerism,,Venice,Italy,Sebastiano del Piombo,male,1507,[36.0],[95.0],http://commons.wikimedia.org/wiki/Special:FilePath/DelPiombo-Sainte-famille-Louvre.jpg,{'nan'},Louvre Museum,"The Holy Family with St. Catherine, St. Sebastian and a Donor",,,France,painting,1
239,http://www.wikidata.org/entity/Q18573336,,oil paint; canvas,religious art,Department of Paintings of the Louvre,soldier; Delilah; Philistines; donkey; sword; Samson; putto; woman; domestic worker; head hair; sleep,Baroque,Samson and Delilah,Sarzana,Italy,Domenico Fiasella,male,1650,[256.0],[159.0],http://commons.wikimedia.org/wiki/Special:FilePath/D%20Fiasella%20Sans%C3%B3n%20y%20Dalila%20Louvre.jpg,{'nan'},Louvre Museum,Samson and Delilah,,,France,painting,1
240,http://www.wikidata.org/entity/Q18573344,,oil paint; canvas,still life; religious art,Department of Paintings of the Louvre,column; container; sheep; donkey; game; Jerusalem; duck,Baroque,Cleansing of the Temple,Genoa,Italy,Giovanni Benedetto Castiglione,male,1645,[124.0],[100.0],http://commons.wikimedia.org/wiki/Special:FilePath/Castiglione%2C%20Giovanni%20Benedetto%20-%20J%C3%A9sus%20chasse%20les%20vendeurs%20du%20temple%20-%2017th%20century.jpg,{'nan'},Louvre Museum,Christ Driving the Money Changers from the Temple,,,France,painting,1
241,http://www.wikidata.org/entity/Q18573391,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Martina of Rome; bell tower; mountain; broad-leaved tree; Virgin Mary; Child Jesus,Baroque,Madonna and Child,Cortona,Italy,Pietro da Cortona,male,1643,[157.5],[136.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20da%20cortona%2C%20madonna%20col%20bambino%20e%20san%20martino%2C%201643%20ca..JPG,{'nan'},Louvre Museum,Madonna and Child with St. Martina,,,France,painting,1
242,http://www.wikidata.org/entity/Q18573444,,oil paint; canvas,portrait,Department of Paintings of the Louvre,column; sculpture; table; man; chair; dog; letter; bay; armillary sphere; book,classicism,Charles John Crowle,Lucca,Italy,Pompeo Batoni,male,1761,[172.0],[248.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pompeo%20batoni%2C%20charles%20john%20crowle%2C%201761-62%20ca..JPG,{'nan'},Louvre Museum,Charles Joseph Crowle,,,France,painting,1
243,http://www.wikidata.org/entity/Q18573499,,oil paint; canvas,nude,Department of Paintings of the Louvre,Venus; Adonis,Baroque,Venus and Adonis,Bologna,Italy,Francesco Albani,male,1630,[60.0],[45.0],http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9nus%20et%20Adonis%20-%20L%27Albane%20-%20Q18573499.jpg,{'nan'},Louvre Museum,Venus and Adonis,,,France,painting,1
244,http://www.wikidata.org/entity/Q18573508,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Paul; beard; sword,Baroque,Paul,Cento,Italy,Guercino,male,1644,[60.0],[74.0],http://commons.wikimedia.org/wiki/Special:FilePath/Guercino%20San%20Paolo%201.jpg,{'nan'},Louvre Museum,St. Paul,,,France,painting,1
245,http://www.wikidata.org/entity/Q18573511,Portrait de l'artiste tenant une palette,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,collar; painter; man; Guercino,Baroque,Guercino,Cento,Italy,Guercino,male,1620,[62.0],[77.0],http://commons.wikimedia.org/wiki/Special:FilePath/Self-portrait%20by%20Guercino.jpg,{'nan'},Louvre Museum,Self-portrait with a Palette,,,France,painting,1
246,http://www.wikidata.org/entity/Q18573548,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Genesis flood narrative,Q3578530,Genesis flood narrative,Verona,Italy,Alessandro Turchi,male,1625,[96.0],[74.0],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20D%C3%A9luge%20-%20Alessandro%20Turchi%20-%20Q18573548.jpg,{'nan'},Louvre Museum,The Flood,,,France,painting,1
247,http://www.wikidata.org/entity/Q18573555,,copper; oil paint,religious art,Department of Paintings of the Louvre,musician; oboe; angel; thurible; Child Jesus,Baroque,Adoration of the shepherds,Genoa,Italy,Giovanni Benedetto Castiglione,male,1659,[52.0],[68.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Benedetto%20Castiglione%20-%20The%20Adoration%20of%20the%20Shepherds%20-%20WGA4542.jpg,{'nan'},Louvre Museum,The Adoration of the Shepherds,,,France,painting,1
248,http://www.wikidata.org/entity/Q18573564,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mary Magdalene; Jesus,Baroque,Noli me tangere,Naples,Italy,Luca Giordano,male,1686,[64.0],[78.0],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Christ%20apparaissant%20%C3%A0%20la%20Madeleine%20-%20Luca%20Giordano%20-%20Q18573564.jpg,{'nan'},Louvre Museum,Christ Appearing to Mary Magdalene,,,France,painting,1
249,http://www.wikidata.org/entity/Q18573580,,oil paint; canvas,religious art,Department of Paintings of the Louvre,wheel; religious marriage; symbol; Catherine of Alexandria,Q3578530,Mystic marriage of Saint Catherine of Alexandria,Verona,Italy,Alessandro Turchi,male,1600,[177.0],[124.0],http://commons.wikimedia.org/wiki/Special:FilePath/A%20Turchi%20Matrimonio%20m%C3%ADstico%20de%20santa%20Catalina%20Louvre.jpg,{'nan'},Louvre Museum,Mystic Marriage of St. Catherine,,,France,painting,1
250,http://www.wikidata.org/entity/Q18573583,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Virgin Mary; Annunciation,Baroque,Annunciation,Florence,Italy,Carlo Dolci,male,1653,[40.0],[52.0],http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20dolci%2C%20vergine%20annunciata%2C%201653-55%20ca..JPG,{'nan'},Louvre Museum,The Virgin of the Annunciation,,,France,painting,1
251,http://www.wikidata.org/entity/Q18573584,,oil paint; canvas,religious art,Department of Paintings of the Louvre,angel; Virgin Mary; Annunciation,Baroque,Annunciation,Florence,Italy,Carlo Dolci,male,1653,[40.0],[52.5],http://commons.wikimedia.org/wiki/Special:FilePath/Dolci%20Angelo%20annunciante.jpg,{'nan'},Louvre Museum,The Angel of the Annunciation,,,France,painting,1
252,http://www.wikidata.org/entity/Q18573587,,copper; oil paint,religious art,Department of Paintings of the Louvre,Jesus,Baroque,Jesus,Florence,Italy,Carlo Dolci,male,1680,[26.0],[34.0],http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20dolci%2C%20istituzione%20dell%27eucarestia%2C%20xvii%20sec.JPG,{'nan'},Louvre Museum,Blessing Christ,,,France,painting,1
253,http://www.wikidata.org/entity/Q18573598,,oil paint; canvas,religious art,Department of Paintings of the Louvre,angel; Virgin Mary; Annunciation,Baroque,Annunciation,Sassoferrato,Italy,Giovanni Battista Salvi da Sassoferrato,male,1650,[74.2],[98.3],http://commons.wikimedia.org/wiki/Special:FilePath/Sassoferrato%2C%20copia%20dell%27annunciazione%20di%20federico%20barocci%2C%20xvii%20sec.JPG,{'nan'},Louvre Museum,Annunciation,,,France,painting,1
254,http://www.wikidata.org/entity/Q18573599,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Assumption of Mary,Baroque,Assumption of Mary,Sassoferrato,Italy,Giovanni Battista Salvi da Sassoferrato,male,1650,[85.0],[140.0],http://commons.wikimedia.org/wiki/Special:FilePath/Sassoferrato%2C%20assunzione%20della%20vergine%2C%201640%20ca..JPG,{'nan'},Louvre Museum,The Assumption of the Virgin,,,France,painting,1
255,http://www.wikidata.org/entity/Q18573603,,oil paint; canvas,religious art,Department of Paintings of the Louvre,John the Baptist; vegetation; sitting; architecture; loggia; Child Jesus; child,Baroque,Madonna and Child,Sassoferrato,Italy,Giovanni Battista Salvi da Sassoferrato,male,1650,[38.5],[47.8],http://commons.wikimedia.org/wiki/Special:FilePath/Sassoferrato%2C%20copia%20della%20madonna%20aldobrandini%20di%20raffaello%2C%20xvii%20sec.JPG,{'nan'},Louvre Museum,Madonna and Child with St. John the Baptist,,,France,painting,1
256,http://www.wikidata.org/entity/Q18573605,,oil paint; canvas,religious art,Department of Paintings of the Louvre,sleep; sitting,Baroque,Madonna and Child,Sassoferrato,Italy,Giovanni Battista Salvi da Sassoferrato,male,1650,[61.4],[77.0],http://commons.wikimedia.org/wiki/Special:FilePath/Sassoferrato%2C%20sonno%20del%20bambin%20ges%C3%B9%2C%201640-1660%20ca..JPG,{'nan'},Louvre Museum,Madonna and Sleeping Child,,,France,painting,1
257,http://www.wikidata.org/entity/Q18573613,,wood; oil paint,religious art,Department of Paintings of the Louvre,angel; Tobias,Baroque,Tobias and the Angel,Naples,Italy,Salvator Rosa,male,1650,[21.0],[26.0],http://commons.wikimedia.org/wiki/Special:FilePath/Tobie%20et%20l%27Ange%20-%20Salvator%20Rosa%20-%20Q18573613.jpg,{'nan'},Louvre Museum,Tobias and the Angel,,,France,painting,1
258,http://www.wikidata.org/entity/Q18573678,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Jesus,Baroque,Christ carrying the cross,Mantua,Italy,Giuseppe Bazzani,male,1750,[142.0],[91.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Mont%C3%A9e%20au%20calvaire%20-%20Giuseppe%20Bazzani%20-%20Q18573678.jpg,{'nan'},Louvre Museum,The Ascent to Calvary,,,France,painting,1
259,http://www.wikidata.org/entity/Q18573851,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Virgin Mary; Annunciation,classicism,Annunciation,Lucca,Italy,Pompeo Batoni,male,1741,[39.0],[49.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pompeo%20batoni%2C%20madonna%20annunciata%2C%201741-42%20ca..JPG,{'nan'},Louvre Museum,The Virgin of the Annunciation,,,France,painting,1
260,http://www.wikidata.org/entity/Q18573893,ìSuzanne et les vieillards,oil paint,religious art,Department of Paintings of the Louvre,Susanna,Rococo; Baroque,Susanna and the Elders,Venice,Italy,Giambattista Pittoni,male,1723,[37.0],[46.0],http://commons.wikimedia.org/wiki/Special:FilePath/Suzanne%20et%20les%20vieillards%20-%20Giovanni%20Battista%20Pittoni%20-%20Q18573893.jpg,{'nan'},Louvre Museum,Susanna and the Elders,,,France,painting,1
261,http://www.wikidata.org/entity/Q18573905,,oil paint; canvas,religious art,Department of Paintings of the Louvre,bottle; column; platter; Last Supper; dog,Rococo,Last Supper,Venice,Italy,Giovanni Battista Tiepolo,male,1747,[89.5],[80.5],http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Battista%20Tiepolo%20-%20The%20Last%20Supper%20-%20WGA22295.jpg,{'nan'},Louvre Museum,The Last Supper,,,France,painting,1
262,http://www.wikidata.org/entity/Q18573908,,oil paint; canvas,religious art,Department of Paintings of the Louvre,column; Ecce Homo; dog; balustrade,Rococo,Ecce Homo,Venice,Italy,Giovanni Battista Tiepolo,male,1757,[42.5],[65.5],http://commons.wikimedia.org/wiki/Special:FilePath/Giovan%20battista%20tiepolo%2C%20ecce%20homo%2C%201757-60%20ca..JPG,{'nan'},Louvre Museum,Ecce Homo,,,France,painting,1
263,http://www.wikidata.org/entity/Q18573909,,oil paint; canvas,religious art,Department of Paintings of the Louvre,veil; bookbinding; fauteuil; chastity; sitting; gold; lily; book; Child Jesus,Rococo,Madonna and Child,Venice,Italy,Giovanni Battista Tiepolo,male,1734,[24.5],[33.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giovan%20battista%20tiepolo%2C%20madonna%20col%20bambino%2C%201734%20ca..JPG,{'nan'},Louvre Museum,Madonna and Child,,,France,painting,1
264,http://www.wikidata.org/entity/Q18573912,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Goliath; David; woman; tambourine,Rococo,David and Goliath,Venice,Italy,Giovanni Battista Tiepolo,male,1716,[35.0],[19.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giovan%20battista%20tiepolo%2C%20trionfo%20di%20david%2C%201716%20ca..JPG,{'nan'},Louvre Museum,The Triumph of David,,,France,painting,1
